landmark_name,image_url,cluster1,cluster2,cluster3
Galerie des Glaces,landmark/Galerie des Glaces/3.jpg,3,1,3
Garden of the Groves,landmark/Garden of the Groves/1.jpg,0,2,3
Garden of the Groves,landmark/Garden of the Groves/2.jpg,1,2,1
Garden of the Groves,landmark/Garden of the Groves/3.jpg,0,2,3
Grand Canal Wharf,landmark/Grand Canal Wharf/3.jpg,2,3,0
Grote Markt,landmark/Grote Markt/1.jpg,2,2,1
Grote Markt,landmark/Grote Markt/2.jpg,2,2,1
Grote Markt,landmark/Grote Markt/3.jpg,1,2,0
Haagse Bos,landmark/Haagse Bos/1.jpg,2,1,3
Haagse Bos,landmark/Haagse Bos/3.jpg,1,1,3
Hacienda,landmark/Hacienda/2.jpg,2,1,3
Hacienda,landmark/Hacienda/3.jpg,2,2,1
Harischandra Ghat,landmark/Harischandra Ghat/1.jpg,2,3,1
Harischandra Ghat,landmark/Harischandra Ghat/2.jpg,0,1,0
Harischandra Ghat,landmark/Harischandra Ghat/3.jpg,2,2,2
HD Sport Center,landmark/HD Sport Center/1.jpg,3,0,2
HD Sport Center,landmark/HD Sport Center/2.jpg,2,2,1
HD Sport Center,landmark/HD Sport Center/3.jpg,2,2,2
Hof van Liere,landmark/Hof van Liere/1.jpg,0,2,1
Hof van Liere,landmark/Hof van Liere/2.jpg,0,2,0
Hof van Liere,landmark/Hof van Liere/3.jpg,0,3,2
Hulhumale' BBQ Beach,landmark/Hulhumale' BBQ Beach/1.jpg,1,0,2
Hulhumale' Main Road,landmark/Hulhumale' Main Road/2.jpg,0,1,3
Hulhumale' Main Road,landmark/Hulhumale' Main Road/3.jpg,0,2,0
Jardin Botanico,landmark/Jardin Botanico/1.jpg,1,3,2
Jardin Botanico,landmark/Jardin Botanico/2.jpg,2,0,0
Jeleni skok,landmark/Jeleni skok/1.jpg,2,1,0
Jeleni skok,landmark/Jeleni skok/2.jpg,0,1,2
Jernbanetorget,landmark/Jernbanetorget/1.jpg,1,0,2
Jernbanetorget,landmark/Jernbanetorget/2.jpg,0,2,2
Jernbanetorget,landmark/Jernbanetorget/3.jpg,2,3,2
Kalibata XXI,landmark/Kalibata XXI/2.jpg,2,2,1
Kalibata XXI,landmark/Kalibata XXI/3.jpg,1,3,1
Kavarna Tromostovje,landmark/Kavarna Tromostovje/1.jpg,3,2,1
Kitsilano Public Pool,landmark/Kitsilano Public Pool/1.jpg,0,3,2
Kitsilano Public Pool,landmark/Kitsilano Public Pool/2.jpg,2,2,0
Kitsilano Public Pool,landmark/Kitsilano Public Pool/3.jpg,0,0,1
Kornmarkt,landmark/Kornmarkt/1.jpg,1,1,1
Kornmarkt,landmark/Kornmarkt/3.jpg,1,1,0
Kungsholmstorg,landmark/Kungsholmstorg/1.jpg,1,2,1
Kungsholmstorg,landmark/Kungsholmstorg/3.jpg,2,1,1
La Chilenita,landmark/La Chilenita/1.jpg,0,0,0
La Chilenita,landmark/La Chilenita/2.jpg,2,0,2
La Chilenita,landmark/La Chilenita/3.jpg,1,1,1
La Muse,landmark/La Muse/1.jpg,3,0,3
La Muse,landmark/La Muse/2.jpg,3,3,0
La Muse,landmark/La Muse/3.jpg,0,1,2
Largo do Carmo,landmark/Largo do Carmo/1.jpg,2,3,1
Largo do Carmo,landmark/Largo do Carmo/2.jpg,1,0,1
Largo do Carmo,landmark/Largo do Carmo/3.jpg,1,1,0
Limelight,landmark/Limelight/1.jpg,3,0,3
Limelight,landmark/Limelight/2.jpg,3,3,1
