id,landmark_name,country
189,Nenea Iancu,Romania
190,La Muse,Romania
191,MOJO,Romania
192,Papiota,Romania
193,Trafalgar,Romania
194,FireFly,Cambodia
195,Secret Lake,Cambodia
196,Starling Farm Kampot Pepper,Cambodia
197,Stunning View,Cambodia
198,Bokor Mountain Resort Kids Club,Cambodia
199,Elite Golf Club,Cambodia
200,Cambodia Country Club (CCC),Cambodia
201,The Led Zephyr,Cambodia
202,Ocheuteal Beach-Otres Beach,Cambodia
203,Maybe Later,Cambodia
204,Monkey Republic,Cambodia
205,Tivoli Pub,Slovenian
206,Acapulco Bar,Slovenian
207,Kavarna Tromostovje,Slovenian
208,Hiša športa,Slovenian
209,Kolosej Ljubljana,Slovenian
210,LP,Slovenian
211,Spirit Bar & restaurant,Slovenian
212,Thai Inn Pub,Slovenian
213,Kratochwill,Slovenian
214,Nik's Bar,Slovenian
215,Chive Caffe,Slovenian
216,Archaeological Museum Sarnath,India
217,The Prinsep Bar,India
218,Sarkari Bhang Ki Dukan,India
219,Harischandra Ghat,India
220,Suryauday Haveli Shivala Ghat,India
221,Mysore Palace,India
222,DRC Cinemas Screen 4,India
223,Rajkamal Theater,India
224,첸나이 국제공항,India
225,Sawai Mansingh Stadium Jaipur,India
226,Replay Lounge,India
227,Marex,Croatia
228,Caffe Galerija Đina,Croatia
229,Dišpet,Croatia
230,Shine Bar,Croatia
231,Mulini beach,Croatia
232,City marine,Croatia
233,Rovinj Harbor,Croatia
234,Brodarica beach,Croatia
235,Sunturist Caffe,Croatia
236,Kino Valli,Croatia
237,Mala Vala,Croatia
238,青岛奥林匹克帆船中心 Qingdao Olympic Sailing Center,China
239,공묘와 국자감,China
240,아리아,China
241,아구아 스패니쉬 레스토랑,China
242,서광게 기념관,China
243,뮤즈,China
244,위인탕,China
245,오도구,China
246,국가대극원,China
247,삼수당,China
248,보리예술박물관,China
249,Middelheimpark,Belgium
250,De Scheldekaaien,Belgium
251,Meir,Belgium
252,Site Oud Sint-Jan,Belgium
253,Zuidpark | Koning Albertpark,Belgium
254,Sint-Baafsplein,Belgium
255,De Munt,Belgium
256,Comics Cafe,Belgium
257,Place Bockstael,Belgium
258,Hof van Liere,Belgium
259,Suikerrui,Belgium
260,Altes Tramdepot,Switzerland
261,Bernisches Historisches Museum,Switzerland
262,Einstein-Haus,Switzerland
263,구 식물원,Switzerland
264,의학 역사 박물관,Switzerland
265,다다 바,Switzerland
266,스카이다이브 엑스드림,Switzerland
267,비아 페라타,Switzerland
268,올드 패션 바,Switzerland
269,Kornmarkt,Switzerland
270,Tinguely-Brunnen,Switzerland
271,주명미술관,Taiwan
272,토은 전시관,Taiwan
273,국가도서관,Taiwan
274,베이터우 문물관,Taiwan
275,블리스,Taiwan
276,푸롱 해변,Taiwan
277,일중가상권,Taiwan
278,동해대학,Taiwan
279,순익타이완원주민박물관,Taiwan
280,곽원익고병박물관,Taiwan
281,흑송세계박물관,Taiwan
282,인스부르크 공항,Austria
283,카지노 빈,Austria
284,프란치스카너키르헤,Austria
285,마담 투소 빈,Austria
286,머피 아이리쉬 펍,Austria
287,하우스 데어 나투어,Austria
288,디 바이세,Austria
289,티롤리언 이브닝,Austria
290,왕궁,Austria
291,슈투바이 빙하,Austria
292,노이어 마르크트,Austria
293,티비다보 성당,Spain
294,파티가스 델 께레르,Spain
295,나바스 거리,Spain
296,Cava Baja,Spain
297,카사 데 캄포,Spain
298,까사 깔베뜨,Spain
299,바르셀로나 산츠역,Spain
300,승리의 광장,Spain
301,베르나베우 스타디움,Spain
302,데보드 신전,Spain
303,마리아 루이사 공원,Spain
304,Howth Harbour Playground,Ireland
305,Irish Whiskey Museum,Ireland
306,O'Connell's,Ireland
307,The Famine Memorial,Ireland
308,The Duke,Ireland
309,The Waterside,Ireland
310,Ye Old Abbey Tavern,Ireland
311,Grand Canal Wharf,Ireland
312,Mulligan's,Ireland
313,The Cobblestone,Ireland
314,Bowe's Lounge,Ireland
315,ΜΠΕΛ ΡΕΫ,Greece
316,Oinoscent,Greece
317,Galaxy Restaurant & Bar,Greece
318,Noel,Greece
319,Ζάχαρη & Αλάτι,Greece
320,Pure Juice Bar,Greece
321,Drunk Sinatra,Greece
322,Baja Brewing Company,Mexico
323,Playa El Médano,Mexico
324,El Squid Roe,Mexico
325,Esquina Bar,Mexico
326,Hacienda,Mexico
327,Puerto Paraíso,Mexico
328,Nikki Beach,Mexico
329,Lovers Beach,Mexico
330,"Mango Deck Restaurant, Bar & Beach Club",Mexico
331,Smoothie Bar Cabo,Mexico
332,Mandala,Mexico
333,젠다르멘 광장,Germany
334,올림피아 공원,Germany
335,프랑크푸르트 역사박물관,Germany
336,카이저 빌헬름 기념교회,Germany
337,소니 센터,Germany
338,포츠다머 플라츠,Germany
339,Dresdner Zwinger,Germany
340,아잠 교회,Germany
341,아우구스티너켈러,Germany
342,Residenzschloss,Germany
343,붉은 시청사,Germany
344,32.05,Russia
345,Государственный Кремлёвский дворец,Russia
346,Манежная площадь,Russia
347,Дума,Russia
348,Измайловский кремль,Russia
349,Мавзолей В. И. Ленина,Russia
350,Триумфальная площадь,Russia
351,Площадь у м. Третьяковская,Russia
352,Лубянская площадь,Russia
353,Площадь Революции,Russia
354,Тверская площадь,Russia
355,Carmen,Sweden
356,Nybroplan,Sweden
357,Kungsholmstorg,Sweden
358,Norrmalmstorg,Sweden
359,T.G.I. Friday's,Sweden
360,Lilla Hotellbaren,Sweden
361,StureCompagniet,Sweden
362,Snaps Bar & Grill,Sweden
363,Filmstaden Söder,Sweden
364,Elefantpojken,Sweden
365,Erlands kafé,Sweden
366,CONCENTRACION DEPORTIVA DE PICHINCHA,Ecuador
367,Redondel José Martí,Ecuador
368,Parque Las Cuadras,Ecuador
369,Parque Inglés,Ecuador
370,Pista Atlética Los Chasquis,Ecuador
371,Plaza de Santo Domingo,Ecuador
372,La Chilenita,Ecuador
373,Canchas sintéticas Olímpico Sur,Ecuador
374,Jardín Botánico,Ecuador
